iter	Passed	Remaining
817	6518	1450
818	6524	1441
819	6530	1433
820	6538	1425
821	6544	1417
822	6552	1409
823	6558	1400
824	6565	1392
825	6570	1384
826	6577	1375
827	6588	1368
828	6594	1360
829	6601	1352
830	6607	1343
831	6616	1336
832	6622	1327
833	6629	1319
834	6636	1311
835	6641	1302
836	6648	1294
837	6654	1286
838	6662	1278
839	6667	1270
840	6673	1261
841	6680	1253
842	6686	1245
843	6696	1237
844	6703	1229
845	6711	1221
846	6717	1213
847	6723	1205
848	6730	1197
849	6737	1188
850	6744	1180
851	6750	1172
852	6758	1164
853	6764	1156
854	6770	1148
855	6777	1140
856	6783	1131
857	6791	1123
858	6796	1115
859	6802	1107
860	6809	1099
861	6815	1091
862	6827	1083
863	6834	1075
864	6840	1067
865	6846	1059
866	6853	1051
867	6859	1043
868	6865	1034
869	6871	1026
870	6877	1018
871	6887	1011
872	6893	1002
873	6901	994
874	6911	987
875	6923	979
876	6932	972
877	6940	964
878	6947	956
879	6956	948
880	6963	940
881	6973	933
882	6980	924
883	6987	916
884	6994	908
885	7002	900
886	7008	892
887	7017	885
888	7022	876
889	7030	868
890	7036	860
891	7043	852
892	7050	844
893	7056	836
894	7062	828
895	7078	821
896	7087	813
897	7095	805
898	7102	797
899	7111	790
900	7119	782
901	7129	774
902	7136	766
903	7144	758
904	7151	750
905	7162	743
906	7170	735
907	7177	727
908	7184	719
909	7192	711
910	7199	703
911	7209	695
912	7215	687
913	7222	679
914	7228	671
915	7237	663
916	7242	655
917	7248	647
918	7255	639
919	7261	631
920	7268	623
921	7274	615
922	7282	607
923	7288	599
924	7296	591
925	7304	583
926	7311	575
927	7318	567
928	7325	559
929	7333	551
930	7338	543
931	7346	535
932	7352	528
933	7358	519
934	7365	512
935	7370	503
936	7378	496
937	7384	488
938	7392	480
939	7397	472
940	7402	464
941	7409	456
942	7415	448
943	7421	440
944	7429	432
945	7435	424
946	7444	416
947	7452	408
948	7460	400
949	7472	393
950	7481	385
951	7488	377
952	7495	369
953	7502	361
954	7509	353
955	7515	345
956	7523	338
957	7530	330
958	7540	322
959	7546	314
960	7555	306
961	7562	298
962	7571	290
963	7577	282
964	7586	275
965	7593	267
966	7601	259
967	7608	251
968	7619	243
969	7628	235
970	7635	228
971	7640	220
972	7646	212
973	7653	204
974	7659	196
975	7668	188
976	7675	180
977	7684	172
978	7690	164
979	7702	157
980	7709	149
981	7717	141
982	7725	133
983	7731	125
984	7737	117
985	7745	109
986	7750	102
987	7756	94
988	7763	86
989	7769	78
990	7776	70
991	7782	62
992	7788	54
993	7795	47
994	7801	39
995	7809	31
996	7815	23
997	7821	15
998	7827	7
999	7833	0
